_msgid,X1_order1_fftv,X2_order1_fftv,Y1_order1_fftv,X1_order2_fftv,X2_order2_fftv,Y1_order2_fftv,X1_order3_fftv,X2_order3_fftv,Y1_order3_fftv,X1_order1_fftg,X2_order1_fftg,Y1_order1_fftg,X1_order2_fftg,X2_order2_fftg,Y1_order2_fftg,X1_order3_fftg,X2_order3_fftg,Y1_order3_fftg,Problem
"ec03a7e9.a008f8",37.682043,34.877023,54.499133,1.319520,0.593564,0.391562,2.359416,3.087089,1.244010,0.372255,0.344606,0.538392,0.026533,0.011933,0.007851,0.070371,0.094930,0.037393,"structural_imbalance"
"a9a1db0f.87dd38",38.067501,37.053129,55.245126,1.031344,0.665573,0.255116,1.277455,4.077698,0.996479,0.376067,0.366108,0.545769,0.020803,0.013390,0.005072,0.038076,0.124603,0.030033,"structural_imbalance"
"2874660b.df7e4a",31.975912,31.569560,47.372662,0.398743,0.666815,0.188428,2.463389,3.958473,0.487652,0.315913,0.311923,0.468026,0.007932,0.013275,0.003496,0.073888,0.120422,0.014537,"structural_imbalance"
"35b0f338.c49dfc",31.038526,29.175402,45.801724,0.437716,0.597294,0.169957,3.054661,3.641449,0.729123,0.306650,0.288275,0.452499,0.008588,0.011959,0.003226,0.092128,0.111168,0.021775,"structural_imbalance"
"4e0d1a06.ee5744",32.989539,24.809380,48.410691,1.306781,0.769256,0.367653,2.579360,3.861069,1.047949,0.325900,0.245166,0.478247,0.026153,0.015412,0.007252,0.077530,0.118332,0.031601,"structural_imbalance"
"c844062f.1b0af8",35.168938,27.890510,51.552419,1.216655,0.841689,0.520824,2.069479,3.366665,1.115657,0.347427,0.275603,0.509277,0.024258,0.016886,0.010362,0.061703,0.102790,0.033422,"structural_imbalance"
"5bc1a880.985708",37.060155,31.586516,54.164417,0.534248,0.798335,0.290853,2.021387,3.117694,0.520803,0.366104,0.312103,0.535075,0.010550,0.015986,0.005699,0.060408,0.095054,0.015605,"structural_imbalance"
"b166d90f.cb1f38",37.263348,33.763937,54.356176,0.875516,0.456208,0.461455,2.407456,3.897648,0.634678,0.368120,0.333611,0.536982,0.017390,0.009063,0.009257,0.072124,0.118839,0.018854,"structural_imbalance"
"6eecbf98.42c17",36.967056,35.849015,53.596578,0.605522,0.722823,0.351358,3.414487,5.548365,0.681632,0.365200,0.354211,0.529486,0.012050,0.014470,0.007051,0.102640,0.168541,0.020414,"structural_imbalance"
"858394f.7c0e168",36.025457,36.021643,52.023421,0.664572,0.891195,0.206331,3.291355,4.870745,0.805019,0.355903,0.355912,0.513950,0.013291,0.017923,0.003965,0.098769,0.148305,0.023899,"structural_imbalance"
"50152118.2d48",36.004131,36.822850,52.431640,0.968695,0.921724,0.255249,2.348310,5.041454,0.229244,0.355698,0.363831,0.517994,0.019457,0.018505,0.005079,0.070551,0.153391,0.006622,"structural_imbalance"
"8f59e0f9.0ca0e",36.649268,37.656358,53.368978,1.030363,0.830958,0.190625,3.829858,4.695771,1.184682,0.362073,0.372063,0.527251,0.020751,0.016645,0.003705,0.115098,0.142702,0.035473,"structural_imbalance"
"acd0a2b7.d23d7",30.666735,27.509417,46.048442,1.299317,0.390602,0.411844,2.907971,3.499981,0.514350,0.302996,0.271852,0.454967,0.025892,0.007766,0.008175,0.087473,0.106358,0.015351,"structural_imbalance"
"c9a265c3.a04218",36.480212,34.857135,53.166465,0.907537,0.575286,0.357150,3.508478,4.664650,0.830558,0.360409,0.344430,0.525263,0.018276,0.011506,0.007074,0.105606,0.141247,0.025086,"structural_imbalance"
"ac7ed5d1.66da98",29.593875,26.340352,44.054374,1.109673,0.385343,0.388884,3.162794,3.459276,0.732638,0.292398,0.260296,0.435270,0.021996,0.007567,0.007723,0.094625,0.104942,0.021746,"structural_imbalance"
"f5734491.b126b8",36.693671,32.057518,53.604379,0.974171,0.516975,0.438780,3.242994,4.029334,0.592509,0.362508,0.316764,0.529578,0.019431,0.010318,0.008706,0.097991,0.122383,0.017981,"structural_imbalance"
"c282f172.dd276",31.605505,31.119239,47.235794,0.362219,0.337341,0.308574,3.728610,4.858500,1.107104,0.312278,0.307500,0.466707,0.007194,0.006597,0.006123,0.112135,0.147134,0.033364,"structural_imbalance"
"5392afd1.a5407",36.702604,31.314699,53.810638,0.859950,0.468073,0.475641,3.431286,4.198275,1.188153,0.362597,0.309434,0.531618,0.017033,0.009347,0.009414,0.103417,0.127933,0.035819,"structural_imbalance"
"8f5b376e.2842f8",31.227640,32.007979,46.420652,0.359339,0.508075,0.157533,2.694978,3.997084,0.893465,0.308545,0.316279,0.458659,0.007267,0.010006,0.002493,0.081165,0.121846,0.026995,"structural_imbalance"
"4ffc1674.cd24b8",34.095069,26.292842,49.950771,1.107371,0.727167,0.387243,3.251064,4.380062,1.533080,0.336831,0.259828,0.493479,0.022110,0.014495,0.007648,0.097624,0.133357,0.046080,"structural_imbalance"
"12f15751.5556a9",34.525565,35.749272,50.656000,0.682498,0.750107,0.181871,1.178319,3.826889,0.625387,0.341121,0.353242,0.500493,0.013789,0.014928,0.003528,0.035198,0.116943,0.018843,"structural_imbalance"
