_msgid,X1_order1_fftv,X2_order1_fftv,Y1_order1_fftv,X1_order2_fftv,X2_order2_fftv,Y1_order2_fftv,X1_order3_fftv,X2_order3_fftv,Y1_order3_fftv,X1_order1_fftg,X2_order1_fftg,Y1_order1_fftg,X1_order2_fftg,X2_order2_fftg,Y1_order2_fftg,X1_order3_fftg,X2_order3_fftg,Y1_order3_fftg,Problem
"b8fddd33.855db",65.891204,88.674486,99.082064,0.276488,1.806795,0.940110,3.321618,3.666953,1.615139,0.650989,0.876231,0.978906,0.005605,0.035975,0.018647,0.099108,0.111761,0.048285,"Anomaly"
"e49f29e7.5fb088",62.309916,82.428344,94.087914,0.614240,1.381427,1.011220,3.633868,4.108103,1.353591,0.615599,0.814531,0.929560,0.012352,0.027546,0.020113,0.108210,0.125333,0.040198,"Anomaly"
"8693ae9d.5d5a2",57.879726,77.470741,88.181461,0.922028,0.692005,0.972540,4.569994,4.287641,1.704263,0.571848,0.765578,0.871227,0.018489,0.013630,0.019366,0.137350,0.130153,0.050991,"Anomaly"
"d75dc066.b1188",59.030826,81.798566,90.345006,0.697025,0.579526,0.820003,2.333274,3.939082,1.205779,0.583233,0.808316,0.892619,0.013734,0.011647,0.016338,0.069568,0.120039,0.036017,"Anomaly"
"9f78ef20.d7df3",64.041790,88.773606,97.168189,1.262375,0.678345,0.911817,3.647641,4.187271,1.510636,0.632721,0.877197,0.960006,0.025291,0.013604,0.018103,0.108669,0.127476,0.044908,"Anomaly"
"3b849fe5.306c5",64.087798,85.309275,96.762973,1.114192,0.574294,0.951803,4.763051,5.055562,1.442703,0.633166,0.842996,0.955988,0.021984,0.011547,0.018856,0.143354,0.153783,0.043205,"Anomaly"
"5179e911.1f4bd8",60.375792,83.104947,91.666469,0.735269,0.889612,0.868426,3.560650,4.698781,1.077390,0.596510,0.821202,0.905662,0.014773,0.017842,0.017263,0.106686,0.142574,0.032147,"Anomaly"
"7a292d88.495d14",65.375527,89.125845,98.423156,0.507588,0.856568,0.703277,3.364566,4.357087,1.767714,0.645887,0.880679,0.972390,0.009955,0.016960,0.013877,0.100409,0.132556,0.052877,"Anomaly"
"b7d4bc53.9e89e",61.698603,81.762514,93.536639,0.770606,1.215787,0.872916,2.331948,3.544987,1.372700,0.609569,0.807976,0.924124,0.015284,0.024439,0.017452,0.068968,0.108180,0.040866,"Anomaly"
"9e1c3314.47529",63.302770,87.412316,96.009130,0.701116,0.675194,0.741565,3.843718,4.182951,1.200179,0.625422,0.863748,0.948556,0.013927,0.013426,0.014690,0.115279,0.126821,0.035825,"Anomaly"
"f787dd43.419bf",64.576248,86.185382,97.344776,0.666090,1.382792,0.929016,4.286638,4.904106,1.793683,0.637982,0.851632,0.961724,0.013255,0.027661,0.018505,0.128766,0.149059,0.053852,"Anomaly"
"52007c79.b1c4d4",59.749811,82.408385,90.981517,0.783061,0.571835,0.788323,3.318542,4.035156,1.626101,0.590328,0.814316,0.898892,0.015672,0.011275,0.015671,0.099858,0.123061,0.048859,"Anomaly"
"966cd7eb.f39388",65.601892,89.193443,98.887094,0.538257,1.244697,0.832680,3.326142,3.151720,1.246735,0.648122,0.881342,0.976968,0.010704,0.024970,0.016555,0.099351,0.096165,0.036973,"Anomaly"
"caf37a85.4c9dd8",59.451127,80.503198,90.657384,0.574133,1.094567,0.900869,1.800038,4.381997,1.525169,0.587381,0.795522,0.895700,0.011413,0.021467,0.017906,0.053159,0.133395,0.045536,"Anomaly"
"e633739d.dae8d",65.382373,89.138170,98.451432,0.834767,1.163320,0.983343,4.643704,5.303384,1.286118,0.645961,0.880798,0.972677,0.016599,0.023329,0.019568,0.139379,0.160728,0.038283,"Anomaly"
"a593836c.2a324",58.016080,77.811691,88.182515,0.485270,0.925504,0.903630,3.585659,3.660567,1.486890,0.573204,0.768934,0.871249,0.009533,0.018561,0.017945,0.106952,0.111433,0.044229,"Anomaly"
"9f522e45.c805b",64.905903,86.854894,97.783577,0.701088,1.425284,0.949701,2.309774,2.946666,1.294166,0.641250,0.858264,0.966080,0.013795,0.028525,0.018868,0.068483,0.089607,0.038575,"Anomaly"
"4e54b2a3.69d44c",59.058130,78.961602,90.153709,0.514667,1.005935,0.891157,2.740338,4.038951,0.982994,0.583500,0.780307,0.890720,0.010126,0.020235,0.017756,0.081686,0.122753,0.029155,"Anomaly"
"a70f5f06.f8a34",66.397519,88.237117,99.984047,0.552901,1.544908,0.908060,4.298675,4.784952,1.335742,0.655993,0.871930,0.987825,0.010678,0.031126,0.018070,0.128919,0.145592,0.039714,"Anomaly"
"cb65974c.ecf048",62.421394,85.623660,94.465071,0.619784,0.729655,0.679937,2.618656,4.011187,0.832855,0.616718,0.846077,0.933304,0.012460,0.014561,0.013484,0.078244,0.121827,0.024724,"Anomaly"
"6c724648.6c3388",65.765776,87.770966,98.869933,0.836542,1.137903,0.934490,4.613249,5.372383,1.187471,0.649746,0.867309,0.976810,0.016447,0.022815,0.018549,0.138438,0.162936,0.035337,"Anomaly"
