_msgid,X1_order1_fftv,X2_order1_fftv,Y1_order1_fftv,X1_order2_fftv,X2_order2_fftv,Y1_order2_fftv,X1_order3_fftv,X2_order3_fftv,Y1_order3_fftv,X1_order1_fftg,X2_order1_fftg,Y1_order1_fftg,X1_order2_fftg,X2_order2_fftg,Y1_order2_fftg,X1_order3_fftg,X2_order3_fftg,Y1_order3_fftg,Problem
"6f186ab.028bd94",0.000000,0.000000,0.000000,0.156130,0.942655,0.297340,0.230286,0.616978,0.450084,0.000000,0.000000,0.000000,0.000000,0.009291,0.002937,0.003188,0.008635,0.006210,"wheel_imbalance"
"865dc03b.02d74",3.126288,43.167234,13.643117,1.619237,0.799373,0.481095,2.226845,2.820924,0.648662,0.030903,0.426622,0.134790,0.032427,0.016173,0.009621,0.066330,0.086365,0.019304,"wheel_imbalance"
"9f421e3c.181bf",12.746228,59.915484,13.182644,1.408877,1.334130,0.424054,1.590365,3.507475,0.960149,0.125922,0.592076,0.130245,0.028101,0.026673,0.008428,0.047245,0.107624,0.028869,"wheel_imbalance"
"6beec3fa.79cfbc",12.973824,60.633010,13.087378,1.224076,1.316554,0.408247,1.963837,3.885402,1.046156,0.128175,0.599168,0.129304,0.024353,0.026299,0.008012,0.058711,0.119265,0.031382,"wheel_imbalance"
"3985530b.036d9c",11.957662,61.034597,12.984075,1.515860,0.820055,0.734087,1.024166,3.698928,0.262861,0.118146,0.603136,0.128283,0.030142,0.016305,0.014668,0.030179,0.113065,0.007843,"wheel_imbalance"
"a835949d.adc148",11.934537,60.896498,12.913278,1.079979,0.801817,0.463387,1.628096,3.740978,0.438899,0.117919,0.601764,0.127582,0.021374,0.015891,0.009213,0.048496,0.114443,0.013058,"wheel_imbalance"
"71893b0e.c1af54",12.399357,61.515498,12.856667,1.075135,0.713013,0.736249,3.020014,5.441653,0.447429,0.122510,0.607874,0.127025,0.021318,0.014143,0.014616,0.090990,0.165587,0.013542,"wheel_imbalance"
"c5f15165.5bea5",12.602124,60.968436,12.798423,0.692954,0.569414,0.719733,2.915149,5.828657,0.377137,0.124504,0.602456,0.126449,0.013606,0.011277,0.014359,0.087680,0.177003,0.011440,"wheel_imbalance"
"31b56639.9eb9da",13.890858,63.974199,13.095786,1.168175,0.880436,0.607195,1.094712,4.474194,0.748240,0.137234,0.632176,0.129388,0.023299,0.017464,0.012085,0.032803,0.136053,0.022615,"wheel_imbalance"
"26e4941b.8e327c",13.978209,64.571861,13.472216,1.553172,1.550144,0.369774,4.159750,4.785733,1.506619,0.138095,0.638078,0.133102,0.031007,0.030925,0.007364,0.125309,0.145196,0.045437,"wheel_imbalance"
"d6e37e5e.fd833",14.205962,64.905047,13.338436,1.200078,1.146644,0.323968,3.285394,4.862940,1.433160,0.140349,0.641373,0.131781,0.023797,0.022804,0.006415,0.098910,0.147917,0.043159,"wheel_imbalance"
"ebdc0eed.53dd6",14.308462,64.883984,13.253625,1.202261,1.451275,0.379502,4.613538,5.919666,1.677692,0.141362,0.641174,0.130945,0.023864,0.028995,0.007414,0.138927,0.179516,0.050491,"wheel_imbalance"
"5ad5cff0.f6cd",13.204444,63.070295,13.678259,1.331425,1.084366,0.516580,5.272622,6.435970,1.024206,0.130456,0.623239,0.135138,0.026509,0.021656,0.010205,0.158806,0.194887,0.030743,"wheel_imbalance"
"682c4269.d5679c",11.945266,62.368735,13.490245,1.929589,1.133926,0.652051,2.313674,2.336491,0.466753,0.118023,0.616310,0.133280,0.038483,0.022442,0.013012,0.068468,0.071504,0.013975,"wheel_imbalance"
"4d545ed.8da32a",12.546170,63.730365,13.604153,1.747836,1.099742,0.551187,2.524401,3.327840,0.602894,0.123958,0.629763,0.134405,0.034726,0.021697,0.010991,0.075328,0.101189,0.018227,"wheel_imbalance"
"e273b65b.72e7b8",12.965260,63.997554,13.745461,1.665899,1.299725,0.473805,4.291530,5.395147,0.746633,0.128098,0.632403,0.135800,0.033201,0.025922,0.009417,0.128825,0.163518,0.022387,"wheel_imbalance"
"e8e9cc88.f4a9b",12.920072,62.028996,13.479844,1.597190,1.223647,0.616068,3.320856,4.437005,0.689771,0.127641,0.612934,0.133174,0.031808,0.024362,0.012329,0.098825,0.134885,0.020400,"wheel_imbalance"
"91a24479.de5b28",12.401495,63.296545,13.436461,1.980763,1.257885,0.643752,5.104018,6.331602,1.120702,0.122530,0.625480,0.132746,0.039523,0.025069,0.012796,0.153945,0.192035,0.033957,"wheel_imbalance"
"d3197a9d.d17618",12.033808,62.665910,13.600185,1.694765,1.097769,0.458692,4.760422,6.382267,0.689161,0.118899,0.619245,0.134364,0.033733,0.021913,0.009092,0.143786,0.194015,0.020992,"wheel_imbalance"
"6e372693.17c218",11.707288,61.673703,13.484398,1.871172,1.216230,0.611134,3.824762,5.370296,0.421233,0.115672,0.609437,0.133223,0.037244,0.024130,0.012140,0.114965,0.163170,0.012827,"wheel_imbalance"
"312956cc.cc89ca",12.414137,62.704527,12.968262,1.481524,0.764479,1.009366,2.898964,4.106161,0.954293,0.122655,0.619623,0.128124,0.029446,0.014963,0.020181,0.086606,0.124836,0.028805,"wheel_imbalance"
"11ea9b7b.8a65a5",13.651202,63.823682,13.169947,1.125904,1.344853,0.593375,2.640170,3.754413,0.486915,0.134867,0.630686,0.130119,0.022503,0.026870,0.011782,0.078477,0.113768,0.014431,"wheel_imbalance"
