_msgid,X1_order1_fftv,X2_order1_fftv,Y1_order1_fftv,X1_order2_fftv,X2_order2_fftv,Y1_order2_fftv,X1_order3_fftv,X2_order3_fftv,Y1_order3_fftv,X1_order1_fftg,X2_order1_fftg,Y1_order1_fftg,X1_order2_fftg,X2_order2_fftg,Y1_order2_fftg,X1_order3_fftg,X2_order3_fftg,Y1_order3_fftg,Problem
"baa6bfba.f3bec",3.465256,7.450201,4.416105,1.021456,0.631190,0.377955,3.255480,4.424578,0.949658,0.034230,0.073617,0.043628,0.020399,0.012732,0.007523,0.097913,0.134305,0.028662,"no_problem"
"861c6dd2.a17fa",4.150828,10.114159,4.211005,1.020790,0.458830,0.406617,2.046814,3.914572,0.603876,0.040995,0.099918,0.041602,0.020297,0.009143,0.008072,0.061492,0.119752,0.018204,"no_problem"
"d0099dbc.ae4a6",3.859853,11.089802,4.078744,0.902436,0.450938,0.380249,2.360573,4.704596,0.775015,0.038124,0.109569,0.040297,0.017967,0.009002,0.007565,0.071959,0.144399,0.023578,"no_problem"
"636ed551.3c8a3c",2.686399,10.350023,4.362778,0.949502,0.729884,0.497984,3.268878,5.803447,0.997531,0.026533,0.102258,0.043103,0.018951,0.014704,0.009890,0.099009,0.177441,0.030201,"no_problem"
"3bc20c09.ea4ab4",3.465431,11.034892,4.198997,0.855297,0.243696,0.642437,2.311502,4.132176,0.631576,0.034227,0.109025,0.041485,0.016951,0.004800,0.012855,0.069753,0.126499,0.019011,"no_problem"
"91b94517.cfd818",1.289438,7.731635,4.665165,0.944768,0.579810,0.482687,3.126587,5.141368,0.996735,0.012747,0.076402,0.046087,0.018947,0.011658,0.009625,0.095028,0.157487,0.030365,"no_problem"
"b4cc5b3b.e4d4b8",2.726181,6.428810,4.378993,0.608356,0.491584,0.619267,2.798057,5.275272,0.468811,0.026933,0.063529,0.043261,0.012055,0.009886,0.012386,0.084778,0.160913,0.014410,"no_problem"
"bb724de9.1468d",4.386054,9.390976,4.107533,0.915538,0.371461,0.329494,2.623469,5.445962,0.943896,0.043321,0.092786,0.040580,0.018326,0.007332,0.006562,0.079471,0.166255,0.028725,"no_problem"
"864678e.2fa9188",3.897308,11.144554,3.990375,0.894168,0.547066,0.294635,3.687489,6.279058,1.091608,0.038495,0.110110,0.039422,0.017766,0.011069,0.005807,0.111809,0.191562,0.033118,"no_problem"
"ffc727f1.dc3c08",4.254560,10.359757,4.078732,0.826629,0.635451,0.364628,1.690227,3.424592,0.462136,0.042022,0.102347,0.040295,0.016416,0.012812,0.007252,0.050828,0.104462,0.014209,"no_problem"
"68de8452.49250c",2.752863,10.112681,4.229410,0.739914,0.228905,0.654318,1.963812,6.194943,0.417377,0.027191,0.099923,0.041783,0.014827,0.004477,0.013116,0.059598,0.188887,0.012770,"no_problem"
"9a01d61.ed22f28",3.318878,7.064249,4.267277,1.002711,0.493805,0.441647,2.658803,5.593552,0.935370,0.032788,0.069806,0.042157,0.020012,0.010049,0.008786,0.080269,0.170577,0.028277,"no_problem"
"2f2791ae.c781be",3.755961,11.221631,4.045676,0.774039,0.194643,0.526183,2.033398,3.999135,0.748049,0.037096,0.110869,0.039970,0.015335,0.003889,0.010532,0.061502,0.121961,0.022742,"no_problem"
"7eec73bc.e1124c",1.652512,6.012535,4.528623,1.057364,0.234419,0.713985,4.618759,5.651920,1.277939,0.016339,0.059426,0.044739,0.021078,0.004655,0.014190,0.139795,0.171906,0.038708,"no_problem"
"182edfdd.bd07c",4.361700,10.632391,3.932604,0.849311,0.414176,0.483532,2.227917,5.236939,0.486992,0.043076,0.105032,0.038851,0.016821,0.008325,0.009675,0.067541,0.160254,0.015008,"no_problem"
"7be3ffe6.82859",3.871739,11.264486,4.041125,0.861537,0.236949,0.500032,2.665724,5.260465,0.549711,0.038243,0.111292,0.039923,0.017205,0.004713,0.010014,0.080111,0.160489,0.016528,"no_problem"
"f46b08f7.499948",2.731815,6.328546,4.300455,0.388286,0.919571,0.582489,4.053912,6.082950,1.176418,0.026992,0.062538,0.042484,0.007656,0.018432,0.011591,0.122147,0.185193,0.035468,"no_problem"
"c1f76ace.406758",3.759076,11.086028,3.983467,0.741656,0.224817,0.651711,2.045093,6.216102,0.738154,0.037130,0.109534,0.039353,0.014819,0.004489,0.013026,0.061855,0.189197,0.022362,"no_problem"
"b2cc2df1.0dd0a",2.971717,6.472689,4.217438,0.568245,0.757169,0.630143,2.046154,3.857964,0.626511,0.029359,0.063959,0.041665,0.011249,0.015208,0.012535,0.061603,0.117817,0.018962,"no_problem"
"ebdd3e73.bd9d5",3.590780,10.943916,3.903870,1.041567,0.137076,0.602686,2.764633,4.608607,0.745631,0.035469,0.108132,0.038567,0.020841,0.002701,0.011972,0.083552,0.140248,0.022631,"no_problem"
"ef49cfed.4b73f",2.604636,6.146592,4.313537,0.554505,0.482338,0.644250,3.416777,5.815187,0.650856,0.025733,0.060740,0.042612,0.010999,0.009749,0.012838,0.103975,0.177484,0.019969,"no_problem"
